BankName,BankId,Currency,BuyRate,SellRate,BbBuyRate,BbSellRate
Commercial Bank of Ceylon,49,CAD,,,62.9738,62.9927
State Bank of India,54,CAD,,,62.9738,62.9927
Woori Bank,55,CAD,,,62.9738,62.9927
Bank Alfalah Limited,47,CAD,,,62.9738,62.9927
Citi Bank N.A.,64,CAD,,,62.9738,62.9927
HSBC,51,CAD,,,62.9738,62.9927
Jamuna Bank Ltd.,17,CAD,,,62.9738,62.9927
Brac Bank Limited,8,CAD,,,62.9738,62.9927
Shahjalal Islami Bank Ltd.,43,CAD,,,62.9738,62.9927
NRB Commercial Bank Ltd.,25,CAD,,,62.9738,62.9927
Midland Bank Limited,19,CAD,,,62.9738,62.9927
Modhumoti Bank Limited,20,CAD,,,62.9738,62.9927
NRB Global Bank Limited,26,CAD,,,62.9738,62.9927
Union Bank Limited,45,CAD,,,62.9738,62.9927
Janata Bank Limited,57,CAD,,,62.9738,62.9927
Social Islami Bank Ltd.,42,CAD,,,62.9738,62.9927
National Bank of Pakistan,52,CAD,,,62.9738,62.9927
SBACBL,30,SGD,,,61.2096,61.2588
NRB Bank Ltd.,24,SGD,,,61.2096,61.2588
The Farmers Bank Limited,34,SGD,,,61.2096,61.2588
Meghna Bank Ltd.,9,SGD,,,61.2096,61.2588
Agrani Bank Limited,58,SGD,,,61.2096,61.2588
Pubali Bank Limited,29,SGD,,,61.2096,61.2588
Rupali Bank Limited,59,SGD,,,61.2096,61.2588
Sonali Bank Limited,56,SGD,,,61.2096,61.2588
Uttara Bank Limited,38,SGD,,,61.2096,61.2588
Bangladesh Krishi Bank,63,SGD,,,61.2096,61.2588
BDBL,61,SGD,,,61.2096,61.2588
AB Bank Ltd.,13,SGD,,,61.2096,61.2588
The City Bank Ltd.,33,SGD,,,61.2096,61.2588
IFIC Bank Ltd.,16,SGD,,,61.2096,61.2588
Islami Bank Bangladesh Ltd.,39,SGD,,,61.2096,61.2588
National Bank Ltd.,22,SGD,,,61.2096,61.2588
United Commercial Bank Ltd.,37,SGD,,,61.2096,61.2588
Al-Arafa Islami Bank Ltd.,40,SGD,,,61.2096,61.2588
ICB Islamic Bank Ltd.,46,SGD,,,61.2096,61.2588
BASIC Bank Ltd.,60,SGD,,,61.2096,61.2588
South East Bank Ltd.,31,SGD,,,61.2096,61.2588
Dhaka Bank Ltd.,14,SGD,,,61.2096,61.2588
Eastern Bank Ltd.,11,SGD,,,61.2096,61.2588
Prime Bank Ltd.,28,SGD,,,61.2096,61.2588
NCCBL,23,SGD,,,61.2096,61.2588
Dutch-Bangla Bank Ltd.,15,SGD,,,61.2096,61.2588
Mercantile Bank Ltd.,18,SGD,,,61.2096,61.2588
Standard Bank Ltd.,32,SGD,,,61.2096,61.2588
One Bank Ltd.,27,SGD,,,61.2096,61.2588
EXIM Bank Ltd.,41,SGD,,,61.2096,61.2588
Bangladesh Commerce Bank Ltd.,12,SGD,,,61.2096,61.2588
Bank Asia Ltd.,10,SGD,,,61.2096,61.2588
The Premier Bank Ltd.,35,SGD,,,61.2096,61.2588
Mutual Trust Bank Ltd.,21,SGD,,,61.2096,61.2588
FSIBL,44,SGD,,,61.2096,61.2588
Trust Bank Ltd.,36,SGD,,,61.2096,61.2588
Standard Chartered Bank,53,SGD,,,61.2096,61.2588
Habib Bank Ltd.,50,SGD,,,61.2096,61.2588
Commercial Bank of Ceylon,49,SGD,,,61.2096,61.2588
